video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
nLhU4crrwD0,Africa,Location,Continent,http://dbpedia.org/resource/Africa,0.335846,neutral,0.0,0.194471,0.13477,0.100017,0.281843,0.063011,1,1,Africa,Africa,Africa,Africa,africa,africa,afric,http://en.wikipedia.org/wiki/Africa,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Africa,Location,Country,NONE,0.269957,positive,0.658822,0.194471,0.13477,0.100017,0.281843,0.063011,1,1,Africa,Africa,Africa,Africa,africa,africa,afric,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Armed Forces,Organization,NONE,NONE,0.266372,negative,-0.299124,0.23586,0.298686,0.05078,0.250626,0.33127399999999996,1,1,Armed Forces,Armed Forces,Armed Forces,Armed Forces,arm forc,arm forc,arm forc,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Bill,Person,NONE,NONE,0.289008,positive,0.658822,0.4355770000000001,0.022088,0.318306,0.20640999999999998,0.099437,1,1,Bill,Bill,Bill,Bill,bill,bill,bil,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Captain syndulla,Person,NONE,NONE,0.29601,neutral,0.0,0.364097,0.020344,0.15262699999999998,0.127187,0.18426199999999998,1,1,Captain syndulla,Captain syndulla,Captain syndulla,Captain syndull,captain syndulla,captain syndulla,captain syndull,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,China,Location,Country,NONE,0.291631,negative,-0.416389,0.49789799999999995,0.028188,0.017936,0.397698,0.373265,1,1,China,China,China,China,china,china,chin,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Federal Executive council,Organization,NONE,NONE,0.29539899999999997,negative,-0.379423,0.24968400000000002,0.287418,0.12971,0.22399499999999997,0.307151,1,1,Federal Executive council,Federal Executive council,Federal Executive council,Federal Executive council,feder execut council,feder execut council,fed execut council,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Gloria,Person,NONE,NONE,0.30042399999999997,positive,0.644634,0.315163,0.11080699999999999,0.39561599999999997,0.051757000000000004,0.065289,1,1,Gloria,Gloria,Gloria,Gloria,gloria,gloria,glor,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,House of Representatives,Organization,"GovernmentalBody, Legislature",http://dbpedia.org/resource/Australian_House_of_Representatives,0.29384,neutral,0.0,0.22947199999999998,0.041963,0.039891,0.24904,0.238519,1,1,House of Representatives,House of Representatives,House of Representatives,House of Representatives,hous of repres,hous of repres,hous of repres,http://en.wikipedia.org/wiki/Australian_House_of_Representatives,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
nLhU4crrwD0,Joe,Person,NONE,NONE,0.281053,negative,-0.5164479999999999,0.40168400000000004,0.10023,0.08495499999999999,0.23467600000000002,0.2581,1,1,Joe,Joe,Joe,Joe,joe,joe,joe,NONE,0.823,0.07400000000000001,0.08800000000000001,0.838,0.03089166310997296,0.4326305306586996,negative,-0.251895,0.17036400000000002,0.518844,0.25740100000000005,0.102033,0.452123,0.0,12.600000381469727,Free Trade,2018-10-27T20:20:43.000Z,UCEXGDNclvmg6RW0vipJYsTQ,Buhari Inaugurates African Free Trade Agreement Committee | Dateline Abuja |,For more information log on to http://www.channelstv.com,Channels Television,"9ja', '9ja news', 'Nigeria', 'News', 'Nigeria News', 'Naija', 'Channels Television', 'Channels TV', 'Africa News', 'Africa', 'Breaking news', 'Nollywood', 'Nigerian', 'Top', 'Stories'",PT9M41S,581,10
