lowercase_lemma,count,type,subtypes,DBpedia_URL,Wikipage,min_relevance,max_relevance,median_relevance,avg_relevance,stdev_relevance,sentiment_labels,min_sentiment_score,max_sentiment_score,median_sentiment_score,avg_sentiment_score,stdev_sentiment_score,min_emotion_sadness,max_emotion_sadness,median_emotion_sadness,avg_emotion_sadness,stdev_emotion_sadness,min_emotion_fear,max_emotion_fear,median_emotion_fear,avg_emotion_fear,stdev_emotion_fear,min_emotion_joy,max_emotion_joy,median_emotion_joy,avg_emotion_joy,stdev_emotion_joy,min_emotion_anger,max_emotion_anger,median_emotion_anger,avg_emotion_anger,stdev_emotion_anger,min_emotion_disgust,max_emotion_disgust,median_emotion_disgust,avg_emotion_disgust,stdev_emotion_disgust
1469,3,['Location'],['City'],['NONE'],['NONE'],0.191778,0.344801,0.343481,0.2933533333333333,0.08796929496326167,['neutral'],0.0,0.0,0.0,0.0,0.0,0.21527399999999997,0.31237600000000004,0.21527399999999997,0.2476413333333333,0.05606186583885109,0.07662100000000001,0.105959,0.105959,0.09617966666666666,0.016938302197485235,0.25454299999999996,0.514626,0.514626,0.42793166666666665,0.1501589900616455,0.044537,0.085976,0.044537,0.05834999999999999,0.0239248178049489,0.09336,0.14067000000000002,0.14067000000000002,,0.027314441235361208
1474,1,['Location'],['City'],['NONE'],['NONE'],0.17388399999999998,0.17388399999999998,0.17388399999999998,0.17388399999999998,,['neutral'],0.0,0.0,0.0,0.0,,0.37687,0.37687,0.37687,0.37687,,0.032394,0.032394,0.032394,0.032394,,0.464466,0.464466,0.464466,0.464466,,0.085724,0.085724,0.085724,0.085724,,0.08909500000000001,0.08909500000000001,0.08909500000000001,,
8377,1,['Location'],['City'],['NONE'],['NONE'],0.22441,0.22441,0.22441,0.22441,,['negative'],-0.371628,-0.371628,-0.371628,-0.371628,,0.49093400000000004,0.49093400000000004,0.49093400000000004,0.49093400000000004,,0.324957,0.324957,0.324957,0.324957,,0.08072,0.08072,0.08072,0.08072,,0.228836,0.228836,0.228836,0.228836,,0.17138599999999998,0.17138599999999998,0.17138599999999998,,
aaron,1,['Person'],['NONE'],['NONE'],['NONE'],0.353513,0.353513,0.353513,0.353513,,['negative'],-0.342417,-0.342417,-0.342417,-0.342417,,0.12405799999999999,0.12405799999999999,0.12405799999999999,0.12405799999999999,,0.148111,0.148111,0.148111,0.148111,,0.028839999999999998,0.028839999999999998,0.028839999999999998,0.028839999999999998,,0.663021,0.663021,0.663021,0.663021,,0.38704,0.38704,0.38704,,
aaron baddeley,1,['Person'],['Golfer'],['http://dbpedia.org/resource/Aaron_Baddeley'],['http://en.wikipedia.org/wiki/Aaron_Baddeley'],0.43975699999999995,0.43975699999999995,0.43975699999999995,0.43975699999999995,,['positive'],0.552143,0.552143,0.552143,0.552143,,0.33905,0.33905,0.33905,0.33905,,0.5101479999999999,0.5101479999999999,0.5101479999999999,0.5101479999999999,,0.036746,0.036746,0.036746,0.036746,,0.242894,0.242894,0.242894,0.242894,,0.23453000000000002,0.23453000000000002,0.23453000000000002,,
abruzzo,1,['Person'],['NONE'],['NONE'],['NONE'],0.555585,0.555585,0.555585,0.555585,,['neutral'],0.0,0.0,0.0,0.0,,0.301561,0.301561,0.301561,0.301561,,0.174572,0.174572,0.174572,0.174572,,0.105995,0.105995,0.105995,0.105995,,0.151773,0.151773,0.151773,0.151773,,0.10978900000000001,0.10978900000000001,0.10978900000000001,,
acosta,1,['Person'],['NONE'],['NONE'],['NONE'],0.493647,0.493647,0.493647,0.493647,,['neutral'],0.0,0.0,0.0,0.0,,0.13977699999999998,0.13977699999999998,0.13977699999999998,0.13977699999999998,,0.078974,0.078974,0.078974,0.078974,,0.191236,0.191236,0.191236,0.191236,,0.09764600000000001,0.09764600000000001,0.09764600000000001,0.09764600000000001,,0.18071500000000001,0.18071500000000001,0.18071500000000001,,
adam baker south,1,['Person'],['NONE'],['NONE'],['NONE'],0.5903189999999999,0.5903189999999999,0.5903189999999999,0.5903189999999999,,['neutral'],0.0,0.0,0.0,0.0,,0.291133,0.291133,0.291133,0.291133,,0.07711,0.07711,0.07711,0.07711,,0.20742800000000008,0.20742800000000008,0.20742800000000008,0.20742800000000008,,0.132658,0.132658,0.132658,0.132658,,0.327676,0.327676,0.327676,,
adolf hitler,1,['Person'],"['Politician, FilmProducer, MilitaryCommander, MilitaryPerson, PoliticalAppointer, FilmActor, TVActor']",['http://dbpedia.org/resource/Adolf_Hitler'],['http://en.wikipedia.org/wiki/Adolf_Hitler'],0.208312,0.208312,0.208312,0.208312,,['neutral'],0.0,0.0,0.0,0.0,,0.320702,0.320702,0.320702,0.320702,,0.115076,0.115076,0.115076,0.115076,,0.079571,0.079571,0.079571,0.079571,,0.282415,0.282415,0.282415,0.282415,,0.187605,0.187605,0.187605,,
adonis,1,['Person'],['NONE'],['NONE'],['NONE'],0.710627,0.710627,0.710627,0.710627,,['neutral'],0.0,0.0,0.0,0.0,,0.070658,0.070658,0.070658,0.070658,,0.134601,0.134601,0.134601,0.134601,,0.519965,0.519965,0.519965,0.519965,,0.012620999999999999,0.012620999999999999,0.012620999999999999,0.012620999999999999,,0.016668000000000002,0.016668000000000002,0.016668000000000002,,
